"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/assets/public/1cf1/6ea7/bc414eb9b706/1bffbba389b0/00108310922-e1/00108310922-e1.jpg?ts=1756372464264&w=474","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/buckled-leather-clogs-p12702720.html","https://static.zara.net/assets/public/0ba0/6810/358d469a810b/f76287a7384f/12702720721-e1/12702720721-e1.jpg?ts=1766484464520&w=474","BUCKLED LEATHER CLOGS","$ 109.00","-40%","$ 65.40"
"https://www.zara.com/us/en/rubberized-crossbody-bag-p13606720.html","https://static.zara.net/assets/public/7640/1ac5/1ef64358b03f/b28ae77ce482/13606720800-e1/13606720800-e1.jpg?ts=1764669182581&w=474","RUBBERIZED CROSSBODY BAG","$ 25.90","-40%","$ 15.54"
"https://www.zara.com/us/en/faux-leather-regular-fit-overshirt-p03046545.html","https://static.zara.net/assets/public/e10e/ae40/1c9b4bf4b2b8/38818fa2b570/03046545716-e1/03046545716-e1.jpg?ts=1772183035528&w=474","FAUX LEATHER REGULAR FIT OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/faux-leather-regular-fit-overshirt-p03046545.html","https://static.zara.net/assets/public/9877/3598/61014aae84c9/01a2e46be628/03046545800-e1/03046545800-e1.jpg?ts=1772183037650&w=474","FAUX LEATHER REGULAR FIT OVERSHIRT","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/deck-shoes-p12424720.html","https://static.zara.net/assets/public/faf4/7728/a1fe41e6915d/ac828310020b/12424720800-e1/12424720800-e1.jpg?ts=1762793166431&w=474","DECK SHOES","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/leather-chelsea-boots-p12014620.html","https://static.zara.net/assets/public/1f32/beb2/94254887a454/8ae70ecf51c4/12014620800-e1/12014620800-e1.jpg?ts=1754317171978&w=474","LEATHER CHELSEA BOOTS","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/purl-knit-sweater-p03284331.html","https://static.zara.net/assets/public/4040/f622/df3f40da9d3a/274d4ba005fa/03284331712-e1/03284331712-e1.jpg?ts=1759312475889&w=474","PURL KNIT SWEATER","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/comfort-jogger-waist-pants-p06861693.html","https://static.zara.net/assets/public/40e1/b4d5/d6b14aa1ae7d/3fc2e83f85d5/05616693819-e1/05616693819-e1.jpg?ts=1755101607382&w=474","COMFORT JOGGER WAIST PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/80-down---20-feather-water-repellent-puffer-jacket-origins-p04302212.html","https://static.zara.net/assets/public/a7b0/97f9/7f21471ab45b/1fd54a0c33bf/04302212822-e1/04302212822-e1.jpg?ts=1767002919814&w=474","WATER REPELLENT 80% DOWN - 20% FEATHER PUFFER JACKET ORIGINS","$ 169.00","-40%","$ 101.40"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/assets/public/390d/b4e0/05e441489c81/35e77bcd8c3e/00108310806-e1/00108310806-e1.jpg?ts=1756372456757&w=474","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
